,AC_gf,Light_gf,Small Power_gf,AC_1f,Light_1f,Small Power_1f,AC_2f,Light_2f,Small Power_2f,Lift,Pump,PV
jul,1.45,2.75,4.29,10.01,1.26,5.89,1.05,0.19,0.39,9.24,0.52,0.18
aug,1.46,3.03,3.8,9.46,1.35,5.81,1.62,0.32,0.58,9.93,0.71,0.21
sep,1.35,2.78,3.01,6.93,1.23,5.1,1.12,0.4,0.45,8.73,0.89,0.23
oct,1.32,2.57,1.77,3.89,1.28,5.64,0.74,0.2,0.47,8.37,0.83,0
nov,1.33,2.5,1.61,3.01,1.21,5.19,0.51,0.17,0.46,8.55,0.86,0
dec,1.2,2.34,0.26,0.51,1.15,5.56,0.11,0.15,0.41,7.52,0.68,0.14
jan,1.28,2.45,0.2,0.26,1.22,5.69,0.1,0.24,0.6,8,0.43,0.12
feb,0.94,2.27,0.13,0.34,1.08,5.81,0.06,0.23,0.55,6.15,0.61,0.18
mar,1.21,2.76,0.28,0.77,1.25,6.31,0.11,0.23,0.61,6.81,0.72,0.15
apr,1.29,3.12,1.45,3.77,1.41,6.88,0.63,0.32,0.55,7.75,0.83,0.16
